'abs_01_QDs_ZnS_Mn_after_2020-10-14_14-46.spc - RawData'
'Wavelength nm.'	'Abs.'
549.0	0.0311
550.0	0.0311
551.0	0.0310
552.0	0.0312
553.0	0.0309
554.0	0.0307
555.0	0.0308
556.0	0.0308
557.0	0.0308
558.0	0.0308
559.0	0.0309
560.0	0.0308
561.0	0.0309
562.0	0.0309
563.0	0.0309
564.0	0.0310
565.0	0.0308
566.0	0.0307
567.0	0.0308
568.0	0.0308
569.0	0.0306
570.0	0.0306
571.0	0.0307
572.0	0.0308
573.0	0.0307
574.0	0.0307
575.0	0.0307
576.0	0.0306
577.0	0.0305
578.0	0.0305
579.0	0.0306
580.0	0.0306
581.0	0.0306
582.0	0.0307
583.0	0.0306
584.0	0.0306
585.0	0.0306
586.0	0.0306
587.0	0.0304
588.0	0.0305
589.0	0.0305
590.0	0.0305
591.0	0.0304
592.0	0.0305
593.0	0.0304
594.0	0.0305
595.0	0.0304
596.0	0.0305
597.0	0.0304
598.0	0.0306
599.0	0.0305
600.0	0.0304
601.0	0.0303
602.0	0.0302
603.0	0.0302
604.0	0.0304
605.0	0.0303
606.0	0.0304
607.0	0.0305
608.0	0.0304
609.0	0.0304
610.0	0.0306
611.0	0.0307
612.0	0.0306
613.0	0.0307
614.0	0.0307
615.0	0.0306
616.0	0.0305
617.0	0.0307
618.0	0.0306
619.0	0.0306
620.0	0.0305
621.0	0.0304
622.0	0.0304
623.0	0.0303
624.0	0.0304
625.0	0.0305
626.0	0.0304
627.0	0.0303
628.0	0.0304
629.0	0.0301
630.0	0.0300
631.0	0.0301
632.0	0.0302
633.0	0.0301
634.0	0.0302
635.0	0.0302
636.0	0.0303
637.0	0.0303
638.0	0.0302
639.0	0.0300
640.0	0.0300
641.0	0.0300
642.0	0.0301
643.0	0.0301
644.0	0.0301
645.0	0.0302
646.0	0.0301
647.0	0.0300
648.0	0.0299
649.0	0.0301
650.0	0.0300
651.0	0.0299
652.0	0.0299
653.0	0.0302
654.0	0.0302
655.0	0.0303
656.0	0.0302
657.0	0.0300
658.0	0.0300
659.0	0.0299
660.0	0.0298
661.0	0.0299
662.0	0.0300
663.0	0.0299
664.0	0.0299
665.0	0.0301
666.0	0.0300
667.0	0.0300
668.0	0.0302
669.0	0.0304
670.0	0.0303
671.0	0.0305
672.0	0.0304
673.0	0.0301
674.0	0.0300
675.0	0.0300
676.0	0.0299
677.0	0.0300
678.0	0.0299
679.0	0.0299
680.0	0.0295
681.0	0.0293
682.0	0.0290
683.0	0.0292
684.0	0.0291
685.0	0.0293
686.0	0.0294
687.0	0.0297
688.0	0.0296
689.0	0.0295
690.0	0.0296
691.0	0.0296
692.0	0.0293
693.0	0.0293
694.0	0.0294
695.0	0.0294
696.0	0.0296
697.0	0.0301
